brand,model,type,strings,frets,price,mensuration,body,colour,descr,img
Solar,Guitars E2.6BOP SK,Stratocaster,6,22,129.990,24.7,сунгкай,цвет чёрный open pore,C:/Users/user/ct/da/lab1-parser/descrs/251.html,C:/Users/user/ct/da/lab1-parser/imgs/251.jpg
Solar,Guitars X2.6C,Stratocaster,6,22,149.990,24.7,махагони,черный,C:/Users/user/ct/da/lab1-parser/descrs/252.html,C:/Users/user/ct/da/lab1-parser/imgs/252.jpg
Solar,Guitars A1.7BOP-FF,Stratocaster,6,22,179.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/253.html,C:/Users/user/ct/da/lab1-parser/imgs/253.jpg
Fernandes,TE-1Z HH CW,Telecaster,6,22,36.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/254.html,C:/Users/user/ct/da/lab1-parser/imgs/254.jpg
Fernandes,TE-1Z BLK,Telecaster,6,22,36.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/255.html,C:/Users/user/ct/da/lab1-parser/imgs/255.jpg
Fernandes,TE-1Z 3SB,Telecaster,6,22,36.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/256.html,C:/Users/user/ct/da/lab1-parser/imgs/256.jpg
Fernandes,TE-1Z CAR,Telecaster,6,22,36.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/257.html,C:/Users/user/ct/da/lab1-parser/imgs/257.jpg
Fernandes,TE-1Z CW,Telecaster,6,22,36.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/258.html,C:/Users/user/ct/da/lab1-parser/imgs/258.jpg
Solar,Guitars A2.7 Canibalismo+,Stratocaster,6,22,125.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/259.html,C:/Users/user/ct/da/lab1-parser/imgs/259.jpg
Root,Note ST201-SGY,Stratocaster,6,22,21.310,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/260.html,C:/Users/user/ct/da/lab1-parser/imgs/260.jpg
Ibanez,GRX70QA-TKS,Stratocaster,6,22,25.800,25.512,липа,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/261.html,C:/Users/user/ct/da/lab1-parser/imgs/261.jpg
Fender,SQUIER MM STRATOCASTER HARD TAIL RED,Stratocaster,6,22,18.920,25.5,клееная древесина,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/262.html,C:/Users/user/ct/da/lab1-parser/imgs/262.jpg
Ibanez,JEM-JR WH,Stratocaster,6,24,60.000,25.5,липа,белый,C:/Users/user/ct/da/lab1-parser/descrs/263.html,C:/Users/user/ct/da/lab1-parser/imgs/263.jpg
